name,userName,supCOS,agentName,supPermission
Agt_001,Agt_001@LT1.com,SCOS1,Agt_001,supervisor Administrator
Agt_002,Agt_002@LT1.com,SCOS1,Agt_002,supervisor Administrator
Agt_003,Agt_003@LT1.com,SCOS1,Agt_003,supervisor Administrator
Agt_004,Agt_004@LT1.com,SCOS1,Agt_004,supervisor Administrator
Agt_005,Agt_005@LT1.com,SCOS1,Agt_005,supervisor Administrator
Agt_006,Agt_006@LT1.com,SCOS1,Agt_006,supervisor Administrator
Agt_007,Agt_007@LT1.com,SCOS1,Agt_007,supervisor Administrator
Agt_008,Agt_008@LT1.com,SCOS1,Agt_008,supervisor Administrator
Agt_009,Agt_009@LT1.com,SCOS1,Agt_009,supervisor Administrator
Agt_010,Agt_010@LT1.com,SCOS1,Agt_010,supervisor Administrator
Agt_011,Agt_011@LT1.com,SCOS1,Agt_011,supervisor Administrator
Agt_012,Agt_012@LT1.com,SCOS1,Agt_012,supervisor Administrator
Agt_013,Agt_013@LT1.com,SCOS1,Agt_013,supervisor Administrator
Agt_014,Agt_014@LT1.com,SCOS1,Agt_014,supervisor Administrator
Agt_015,Agt_015@LT1.com,SCOS1,Agt_015,supervisor Administrator
Agt_016,Agt_016@LT1.com,SCOS1,Agt_016,supervisor Administrator
Agt_017,Agt_017@LT1.com,SCOS1,Agt_017,supervisor Administrator
Agt_018,Agt_018@LT1.com,SCOS1,Agt_018,supervisor Administrator
Agt_019,Agt_019@LT1.com,SCOS1,Agt_019,supervisor Administrator
Agt_020,Agt_020@LT1.com,SCOS1,Agt_020,supervisor Administrator
Agt_021,Agt_021@LT1.com,SCOS1,Agt_021,supervisor Administrator
Agt_022,Agt_022@LT1.com,SCOS1,Agt_022,supervisor Administrator
Agt_023,Agt_023@LT1.com,SCOS1,Agt_023,supervisor Administrator
Agt_024,Agt_024@LT1.com,SCOS1,Agt_024,supervisor Administrator
Agt_025,Agt_025@LT1.com,SCOS1,Agt_025,supervisor Administrator
Agt_026,Agt_026@LT1.com,SCOS1,Agt_026,supervisor Administrator
Agt_027,Agt_027@LT1.com,SCOS1,Agt_027,supervisor Administrator
Agt_028,Agt_028@LT1.com,SCOS1,Agt_028,supervisor Administrator
Agt_029,Agt_029@LT1.com,SCOS1,Agt_029,supervisor Administrator
Agt_030,Agt_030@LT1.com,SCOS1,Agt_030,supervisor Administrator
Agt_031,Agt_031@LT1.com,SCOS1,Agt_031,supervisor Administrator
Agt_032,Agt_032@LT1.com,SCOS1,Agt_032,supervisor Administrator
Agt_033,Agt_033@LT1.com,SCOS1,Agt_033,supervisor Administrator
Agt_034,Agt_034@LT1.com,SCOS1,Agt_034,supervisor Administrator
Agt_035,Agt_035@LT1.com,SCOS1,Agt_035,supervisor Administrator
Agt_036,Agt_036@LT1.com,SCOS1,Agt_036,supervisor Administrator
Agt_037,Agt_037@LT1.com,SCOS1,Agt_037,supervisor Administrator
Agt_038,Agt_038@LT1.com,SCOS1,Agt_038,supervisor Administrator
Agt_039,Agt_039@LT1.com,SCOS1,Agt_039,supervisor Administrator
Agt_040,Agt_040@LT1.com,SCOS1,Agt_040,supervisor Administrator
Agt_041,Agt_041@LT1.com,SCOS1,Agt_041,supervisor Administrator
Agt_042,Agt_042@LT1.com,SCOS1,Agt_042,supervisor Administrator
Agt_043,Agt_043@LT1.com,SCOS1,Agt_043,supervisor Administrator
Agt_044,Agt_044@LT1.com,SCOS1,Agt_044,supervisor Administrator
Agt_045,Agt_045@LT1.com,SCOS1,Agt_045,supervisor Administrator
Agt_046,Agt_046@LT1.com,SCOS1,Agt_046,supervisor Administrator
Agt_047,Agt_047@LT1.com,SCOS1,Agt_047,supervisor Administrator
Agt_048,Agt_048@LT1.com,SCOS1,Agt_048,supervisor Administrator
Agt_049,Agt_049@LT1.com,SCOS1,Agt_049,supervisor Administrator
Agt_050,Agt_050@LT1.com,SCOS1,Agt_050,supervisor Administrator
Agt_051,Agt_051@LT1.com,SCOS1,Agt_051,supervisor Administrator
Agt_052,Agt_052@LT1.com,SCOS1,Agt_052,supervisor Administrator
Agt_053,Agt_053@LT1.com,SCOS1,Agt_053,supervisor Administrator
Agt_054,Agt_054@LT1.com,SCOS1,Agt_054,supervisor Administrator
Agt_055,Agt_055@LT1.com,SCOS1,Agt_055,supervisor Administrator
Agt_056,Agt_056@LT1.com,SCOS1,Agt_056,supervisor Administrator
Agt_057,Agt_057@LT1.com,SCOS1,Agt_057,supervisor Administrator
Agt_058,Agt_058@LT1.com,SCOS1,Agt_058,supervisor Administrator
Agt_059,Agt_059@LT1.com,SCOS1,Agt_059,supervisor Administrator
Agt_060,Agt_060@LT1.com,SCOS1,Agt_060,supervisor Administrator
Agt_061,Agt_061@LT1.com,SCOS1,Agt_061,supervisor Administrator
Agt_062,Agt_062@LT1.com,SCOS1,Agt_062,supervisor Administrator
Agt_063,Agt_063@LT1.com,SCOS1,Agt_063,supervisor Administrator
Agt_064,Agt_064@LT1.com,SCOS1,Agt_064,supervisor Administrator
Agt_065,Agt_065@LT1.com,SCOS1,Agt_065,supervisor Administrator
Agt_066,Agt_066@LT1.com,SCOS1,Agt_066,supervisor Administrator
Agt_067,Agt_067@LT1.com,SCOS1,Agt_067,supervisor Administrator
Agt_068,Agt_068@LT1.com,SCOS1,Agt_068,supervisor Administrator
Agt_069,Agt_069@LT1.com,SCOS1,Agt_069,supervisor Administrator
Agt_070,Agt_070@LT1.com,SCOS1,Agt_070,supervisor Administrator
Agt_071,Agt_071@LT1.com,SCOS1,Agt_071,supervisor Administrator
Agt_072,Agt_072@LT1.com,SCOS1,Agt_072,supervisor Administrator
Agt_073,Agt_073@LT1.com,SCOS1,Agt_073,supervisor Administrator
Agt_074,Agt_074@LT1.com,SCOS1,Agt_074,supervisor Administrator
Agt_075,Agt_075@LT1.com,SCOS1,Agt_075,supervisor Administrator
Agt_076,Agt_076@LT1.com,SCOS1,Agt_076,supervisor Administrator
Agt_077,Agt_077@LT1.com,SCOS1,Agt_077,supervisor Administrator
Agt_078,Agt_078@LT1.com,SCOS1,Agt_078,supervisor Administrator
Agt_079,Agt_079@LT1.com,SCOS1,Agt_079,supervisor Administrator
Agt_080,Agt_080@LT1.com,SCOS1,Agt_080,supervisor Administrator
Agt_081,Agt_081@LT1.com,SCOS1,Agt_081,supervisor Administrator
Agt_082,Agt_082@LT1.com,SCOS1,Agt_082,supervisor Administrator
